,age,gender,height_cm,weight_kg,body fat_%
52,38.0,F,157.2,51.7,27.3
53,43.0,F,168.3,69.3,31.9
54,21.0,F,159.5,51.3,35.8
55,56.0,M,166.7,56.9,16.5
56,24.0,M,164.4,66.2,17.1
57,58.0,F,146.5,46.4,32.9
58,42.0,M,174.1,103.1,30.5
59,45.0,M,185.4,80.0,21.9
60,37.0,M,168.9,78.8,23.4
61,31.0,M,175.3,83.6,30.1
62,43.0,F,164.0,50.8,22.4
63,23.0,F,162.4,58.9,29.6
64,59.0,F,165.0,63.7,31.4
65,63.0,M,166.6,75.5,31.6
66,40.0,M,174.2,77.6,17.8
67,27.0,F,150.5,55.7,39.6
68,56.0,F,160.2,62.4,33.3
69,35.0,M,179.0,75.0,10.7
70,30.0,M,172.7,78.0,26.6
71,56.0,M,160.2,62.7,30.2
72,36.0,M,171.5,80.5,21.5
73,60.0,M,175.1,66.5,17.3
74,22.0,M,172.2,70.6,24.3
75,22.0,M,171.9,78.46,22.9
76,37.0,M,174.0,75.2,18.5
77,21.0,F,158.1,53.6,27.63524
78,21.0,M,170.4,74.3,19.5
79,60.0,F,158.6,62.7,34.6
80,27.0,F,168.5,64.2,26.2
81,59.0,F,156.3,60.5,33.6
82,47.0,F,157.0,54.1,26.8
83,21.0,F,161.3,50.6,23.5
84,51.0,M,177.0,68.7,18.3
85,48.0,M,171.0,66.2,17.3
86,49.0,M,170.0,66.2,18.0
87,41.0,F,158.1,51.0,21.7
88,24.0,F,159.0,45.5,24.5
89,35.0,M,178.4,79.0,15.4
90,26.0,F,156.7,56.3,32.8
91,35.0,M,178.5,78.4,13.8
92,25.0,M,171.2,65.1,11.8
93,30.0,M,176.4,71.7,17.9
94,27.0,M,175.4,86.4,19.8
95,41.0,M,166.7,65.7,21.5
96,50.0,F,158.4,57.2,32.0
97,22.0,M,175.8,72.0,30.4
98,56.0,M,173.0,70.9,19.5
99,46.0,F,159.1,52.2,27.2
100,44.0,M,180.5,79.5,21.7
101,25.0,F,162.2,71.5,41.3
102,25.0,F,156.3,48.6,26.5
103,59.0,M,170.0,59.1,15.0
104,30.0,M,178.4,82.5,30.0
105,24.0,M,176.0,67.2,10.8
106,39.0,M,168.8,70.9,25.5
107,27.0,M,170.3,74.6,22.0
108,33.0,M,172.8,78.8,19.3
109,28.0,F,163.6,52.4,20.3
110,28.0,F,166.2,59.7,21.9
111,35.0,M,179.2,64.7,12.9
112,34.0,M,177.8,76.4,28.9
113,35.0,M,184.7,84.18,16.3
114,34.0,M,173.2,73.77,19.5
115,25.0,M,164.3,61.18,22.0
116,32.0,M,169.2,68.7,15.2
117,21.0,F,169.1,56.1,22.6
118,22.0,M,183.5,76.9,15.7
119,22.0,F,156.9,46.9,23.0
120,24.0,M,172.1,64.5,16.8
121,27.0,M,178.2,75.1,15.9
122,21.0,F,164.4,48.1,16.9
123,46.0,F,164.1,49.1,30.5
124,29.0,F,162.2,51.7,29.2
125,23.0,F,162.7,51.7,19.0
126,51.0,M,177.9,67.2,15.8
127,28.0,M,184.8,84.6,17.2
128,23.0,F,164.7,44.3,26.7
129,30.0,M,178.3,93.5,27.3
130,25.0,F,160.1,51.7,30.7
131,28.0,M,172.7,69.8,27.6
132,22.0,M,178.3,73.2,23.4
133,51.0,M,167.7,72.7,29.0
134,24.0,F,165.1,49.9,19.3
135,27.0,F,160.3,47.8,19.5
136,61.0,F,153.2,62.2,37.0
137,30.0,M,169.5,71.9,20.6
138,42.0,M,180.2,73.3,20.4
139,22.0,M,180.3,91.7,32.1
140,23.0,F,164.7,62.5,31.4
141,27.0,F,160.2,54.5,20.7
142,29.0,M,167.9,70.7,25.3
143,62.0,M,165.6,67.6,25.7
144,21.0,M,169.2,92.9,33.3
145,25.0,M,184.1,74.7,12.6
146,31.0,F,166.9,64.1,30.5
147,21.0,M,175.0,66.4,16.5
148,38.0,M,171.6,66.3,20.5
149,23.0,F,178.1,64.2,29.2
150,56.0,M,170.1,61.5,22.0
151,59.0,M,170.3,71.0,24.5
152,23.0,F,164.4,54.3,21.7
153,52.0,M,170.0,75.5,30.4
154,33.0,M,178.0,74.66,19.0
155,58.0,F,154.9,51.6,24.1
156,21.0,F,160.9,61.4,36.5
157,27.0,M,176.0,72.86,18.6
158,27.0,M,173.5,65.3,14.3
159,21.0,F,163.0,62.3,32.9
160,57.0,M,168.5,66.0,24.1
161,29.0,F,166.7,52.84,15.2
162,45.0,M,170.0,70.0,20.0
163,24.0,F,155.5,64.4,34.8
164,50.0,F,163.9,52.5,19.6
165,60.0,M,173.0,68.4,11.4
166,62.0,M,163.7,63.9,23.3
167,39.0,F,159.2,45.3,19.6
168,22.0,F,162.2,60.4,27.1
169,54.0,F,156.5,52.2,30.1
170,48.0,M,167.2,68.5,28.2
171,61.0,F,160.9,63.1,30.9
172,60.0,M,172.5,76.0,23.1
173,27.0,M,168.6,67.2,23.7
174,40.0,F,162.5,51.4,22.5
175,36.0,M,172.1,65.64,19.9
176,58.0,M,168.5,74.9,30.1
177,55.0,F,152.8,55.6,31.3
178,25.0,F,158.1,57.9,31.5
179,21.0,M,169.6,64.5,10.9
180,23.0,F,163.8,57.5,31.7
181,64.0,M,165.8,61.3,8.5
182,21.0,M,187.4,84.4,18.8
183,56.0,F,149.4,51.6,35.1
184,22.0,M,167.3,61.4,16.4
185,28.0,F,165.4,62.0,31.1
186,53.0,F,152.7,46.9,27.5
187,23.0,M,165.7,62.7,23.2
188,46.0,M,176.8,80.9,22.7
189,56.0,F,148.2,54.7,37.7
190,44.0,M,172.0,71.0,18.1
191,27.0,M,173.8,68.4,13.9
192,45.0,M,166.5,71.5,26.6
193,63.0,M,164.7,73.8,36.7
194,26.0,M,183.4,83.6,14.1
195,32.0,M,170.8,72.2,24.1
196,22.0,F,167.0,50.3,18.9
197,21.0,M,175.0,84.7,28.0
198,21.0,M,178.9,75.5,17.2
199,54.0,F,148.0,53.4,27.9
200,21.0,M,179.0,82.8,15.4
201,24.0,M,163.9,64.8,23.6
202,31.0,M,178.0,84.66,18.9
203,27.0,M,180.9,77.1,19.9
204,22.0,F,163.8,54.2,28.4
205,61.0,F,152.6,56.4,37.6
206,60.0,M,171.9,60.9,16.7
207,41.0,F,160.0,50.0,20.6
208,59.0,M,166.1,67.8,25.9
209,51.0,M,174.5,71.2,21.2
210,34.0,M,181.1,70.5,19.4
211,22.0,F,169.2,53.2,16.0
212,22.0,F,162.1,55.1,23.2
213,23.0,F,161.8,47.8,17.2
214,27.0,F,152.3,55.5,37.5
215,25.0,F,160.9,63.7,36.1
216,37.0,F,149.5,38.1,17.3
217,21.0,M,170.0,50.1,16.3
218,31.0,M,174.0,67.6,15.6
219,49.0,M,176.2,73.3,22.2
220,27.0,M,182.5,81.0,17.8
221,49.0,F,155.9,57.0,23.3
222,36.0,F,156.6,55.0,26.6
223,33.0,M,179.2,76.3,23.8
224,61.0,F,146.5,56.16,37.3
225,24.0,F,166.9,70.0,23.7
226,25.0,M,168.8,63.9,26.0
227,28.0,F,161.4,55.9,35.2
228,26.0,F,162.6,57.2,32.6
229,62.0,M,175.0,68.0,22.6
230,51.0,M,172.4,75.6,23.3
231,26.0,M,180.2,103.4,24.7
232,21.0,F,160.7,56.6,29.2
233,56.0,F,149.0,46.7,23.2
234,52.0,M,165.4,74.8,27.5
235,21.0,F,169.2,64.9,35.3
236,56.0,F,157.2,60.4,36.2
237,36.0,M,169.9,67.1,17.9
238,32.0,F,163.5,55.6,25.5
239,21.0,F,159.9,49.7,25.4
240,63.0,M,165.8,63.9,20.7
241,32.0,M,168.0,69.8,21.9
242,28.0,M,175.1,75.5,13.8
243,40.0,M,169.8,84.1,25.0
244,26.0,F,158.8,56.9,27.6
245,56.0,F,156.9,49.9,35.9
246,22.0,M,168.4,69.9,15.0
247,29.0,M,172.7,72.6,27.5
248,61.0,M,171.6,86.4,28.7
249,54.0,F,162.9,51.4,29.4
250,56.0,M,168.8,66.4,23.8
251,36.0,M,173.0,72.7,19.2
252,24.0,M,167.5,65.66,19.1
253,59.0,F,145.7,51.6,41.4
254,23.0,F,158.2,47.9,30.4
255,41.0,M,179.3,73.4,18.0
256,35.0,M,169.9,61.7,22.2
257,30.0,M,163.7,65.5,23.6
258,44.0,F,167.8,63.8,24.3
259,28.0,M,170.0,74.0,28.0
260,22.0,M,169.5,65.0,20.1
261,21.0,M,187.9,74.7,21.06
262,53.0,M,170.0,75.1,22.4
263,21.0,F,158.4,48.9,22.7
264,63.0,F,157.6,58.2,29.2
265,23.0,F,161.1,53.0,28.4
266,62.0,M,174.7,71.9,23.6
267,32.0,M,179.7,90.0,29.3
268,38.0,M,172.3,71.6,15.5
269,24.0,M,180.3,80.2,24.7
270,23.0,M,183.3,79.4,19.8
271,63.0,M,172.4,71.66,18.9
272,27.0,M,178.8,73.38,7.8
273,59.0,F,158.2,54.34,29.6
274,36.0,F,166.5,53.7,25.9
275,34.0,F,167.5,65.8,26.0
276,23.0,M,180.4,90.5,26.8
277,21.0,F,158.8,49.7,28.4
278,24.0,M,177.0,89.9,18.9
279,55.0,M,170.0,75.5,20.6
280,43.0,M,169.0,68.6,12.4
281,22.0,F,159.3,54.0,21.3
282,46.0,M,173.9,69.4,17.8
283,24.0,M,176.0,77.5,24.7
284,56.0,F,164.0,57.6,23.2
285,28.0,M,171.4,76.8,25.1
286,53.0,F,160.4,59.3,20.3
287,30.0,M,179.2,76.5,12.6
288,21.0,F,153.0,56.9,40.2
289,59.0,F,162.0,65.3,37.6
290,27.0,F,164.6,56.9,29.4
291,38.0,M,179.9,82.2,18.0
292,41.0,M,167.9,72.4,20.7
293,21.0,F,168.4,60.2,34.2
294,23.0,F,163.7,53.4,29.6
295,21.0,F,166.3,47.6,25.3
296,63.0,M,160.5,68.2,28.7
297,22.0,M,182.9,72.4,12.3
298,28.0,M,170.3,52.5,16.8
299,25.0,F,154.0,57.9,33.1
300,39.0,M,176.9,90.1,21.5
301,22.0,M,180.6,80.0,25.2
302,30.0,M,170.2,62.9,14.7
303,30.0,M,185.2,108.9,23.1
304,24.0,F,162.8,59.7,32.6
305,64.0,M,163.8,68.5,30.9
306,22.0,F,166.0,68.8,31.3
307,64.0,F,155.5,60.0,34.9
308,26.0,M,170.1,67.1,16.4
309,39.0,F,159.3,50.6,30.8
310,50.0,M,165.2,67.0,28.4
311,45.0,F,159.2,59.1,30.7
312,52.0,F,150.3,49.1,33.6
313,25.0,M,184.0,75.7,9.2
314,25.0,M,175.3,63.7,9.9
315,35.0,M,177.3,82.7,23.8
316,63.0,M,169.4,76.1,24.3
317,31.0,M,167.0,71.1,20.0
318,42.0,F,158.1,51.0,14.0
319,25.0,F,158.6,46.2,17.8
320,24.0,F,156.1,49.4,25.1
321,22.0,M,175.1,67.5,18.3
322,26.0,M,172.9,83.3,31.5
323,22.0,F,166.0,54.9,23.5
324,46.0,M,168.0,58.7,23.2
325,37.0,M,181.2,86.0,23.0
326,28.0,M,170.0,84.2,13.5
327,24.0,M,176.1,74.8,24.3
328,27.0,M,170.0,75.9,34.4
329,28.0,M,171.0,74.6,25.2
330,23.0,F,163.5,58.5,27.9
331,39.0,M,170.8,68.9,19.9
332,55.0,F,154.6,58.9,41.3
333,41.0,M,176.2,93.1,35.8
334,36.0,F,165.8,55.78,26.7
335,29.0,M,172.7,71.8,15.7
336,35.0,M,173.1,77.6,22.8
337,41.0,M,177.0,81.7,24.2
338,23.0,F,161.8,58.7,29.6
339,22.0,M,175.8,73.3,17.5
340,52.0,F,159.5,55.2,31.5
341,63.0,F,175.1,81.2,26.3
342,64.0,M,159.3,56.5,19.8
343,41.0,M,175.7,81.2,22.0
344,22.0,F,158.5,49.3,27.0
345,21.0,F,170.5,67.8,30.7
346,44.0,M,177.4,87.9,25.9
347,50.0,F,157.3,51.1,29.1
348,26.0,M,180.8,69.26,13.6
349,53.0,M,167.0,65.7,23.7
350,29.0,M,185.0,85.8,23.6
351,47.0,M,177.7,87.7,28.5
352,25.0,M,179.4,74.3,12.4
353,40.0,F,159.1,50.4,16.6
354,51.0,F,161.2,47.8,17.1
355,40.0,F,163.3,47.7,16.1
356,27.0,F,169.8,64.9,26.9
357,24.0,M,179.4,78.1,23.9
358,28.0,M,171.4,68.3,12.6
359,43.0,M,174.6,104.9,36.2
360,54.0,M,176.0,68.9,18.9
361,23.0,F,167.2,54.8,24.5
362,28.0,M,175.4,69.9,14.9
363,29.0,M,170.0,66.0,20.6
364,54.0,M,163.0,75.5,23.1
365,23.0,M,178.6,83.9,17.9
366,35.0,F,158.3,70.1,32.8
367,29.0,F,161.4,61.8,29.8
368,37.0,M,174.1,80.2,28.2
369,29.0,M,178.8,72.9,13.7
370,45.0,M,160.0,59.3,20.2
371,22.0,F,159.1,51.3,29.1
372,47.0,M,174.3,78.1,22.8
373,44.0,M,176.9,85.2,24.7
374,26.0,F,161.9,53.9,20.7
375,32.0,M,165.9,74.8,24.3
376,48.0,F,161.5,49.4,22.4
377,56.0,M,162.3,56.68,15.9
378,26.0,M,180.6,73.4,17.5
379,22.0,M,177.1,71.4,18.1
380,43.0,F,166.2,51.8,16.5
381,37.0,F,170.0,63.0,25.9
382,33.0,F,162.7,53.9,33.4
383,48.0,M,168.6,71.0,22.0
384,22.0,M,175.8,66.6,14.7
385,27.0,M,173.9,79.0,27.0
386,38.0,M,171.4,71.7,17.2
387,62.0,M,164.5,64.02,17.8
388,31.0,M,176.5,69.3,12.7
389,22.0,M,175.0,69.8,15.0
390,29.0,M,179.0,79.1,5.0
391,22.0,M,170.0,73.6,23.9
392,50.0,F,153.9,43.8,23.2
393,32.0,M,176.3,71.8,21.2
394,46.0,M,163.5,71.1,28.6
395,31.0,M,178.0,78.2,19.4
396,22.0,M,179.6,70.0,13.1
397,28.0,M,176.2,83.7,20.5
398,31.0,M,173.7,83.8,29.6
399,59.0,M,165.7,57.6,13.6
400,34.0,F,162.1,79.3,43.5
401,37.0,M,170.8,60.5,11.5
402,64.0,F,153.2,50.1,28.2
403,63.0,F,147.4,52.1,31.1
404,25.0,F,160.0,53.1,26.1
405,57.0,F,159.2,68.6,32.1
406,41.0,M,177.1,74.9,17.0
407,27.0,M,179.5,87.0,19.5
408,48.0,M,166.9,69.5,26.8
409,26.0,F,157.6,50.1,23.9
410,30.0,M,179.5,90.8,18.3
411,34.0,M,175.0,71.0,19.7
412,23.0,M,182.7,67.6,11.6
413,30.0,M,185.0,77.9,21.0
414,25.0,M,175.0,72.6,22.0
415,25.0,M,174.3,79.68,20.5
416,35.0,M,184.6,79.0,22.6
417,54.0,F,162.4,56.2,23.7
418,50.0,F,154.6,53.2,25.1
419,21.0,M,175.1,103.6,39.1
420,64.0,F,163.6,55.2,27.1
421,24.0,M,173.6,71.2,17.1
422,39.0,F,167.8,65.7,30.1
423,21.0,M,183.0,80.1,17.6
424,27.0,M,165.8,73.8,29.1
425,36.0,M,166.7,74.1,20.3
426,23.0,F,162.7,63.9,36.7
427,24.0,F,164.8,52.0,22.1
428,62.0,F,162.4,68.1,25.3
429,39.0,F,161.5,52.0,26.4
430,62.0,F,155.0,50.7,31.1
431,22.0,F,154.8,59.3,34.2
432,64.0,F,158.0,62.3,32.8
433,22.0,M,172.1,80.2,23.0
434,22.0,M,172.9,76.3,20.7
435,24.0,F,165.2,53.7,28.9
436,43.0,M,171.3,65.76,22.9
437,25.0,M,176.4,70.4,19.3
438,36.0,F,156.1,48.9,21.8
439,49.0,M,181.9,73.4,16.4
440,54.0,F,150.9,54.4,32.6
441,56.0,M,173.7,76.3,20.3
442,24.0,M,179.3,86.4,22.57
443,46.0,M,176.1,69.2,11.3
444,24.0,F,160.0,51.8,32.8
445,21.0,M,174.8,78.7,20.1
446,21.0,F,160.8,48.9,27.3
447,25.0,F,168.1,57.5,30.2
448,21.0,M,169.5,61.6,12.4
449,51.0,M,169.0,69.0,23.0
450,21.0,M,175.8,66.26,9.9
451,21.0,M,171.6,72.5,24.5
452,44.0,F,157.6,46.8,22.9
453,62.0,F,153.3,54.9,30.4
454,63.0,M,174.4,71.8,22.1
455,38.0,F,163.1,61.0,26.5
456,38.0,F,166.2,60.4,23.2
457,52.0,M,163.4,61.3,16.9
458,31.0,M,177.8,89.3,24.9
459,54.0,F,157.1,66.2,39.9
460,24.0,M,170.6,69.9,3.0
461,28.0,M,174.5,69.4,16.1
462,35.0,M,171.5,76.2,18.9
463,25.0,M,171.4,69.4,15.7
464,32.0,M,164.0,65.8,20.6
465,27.0,F,160.4,55.68,24.3
466,63.0,M,166.8,58.4,20.7
467,26.0,M,167.3,63.3,12.4
468,28.0,M,167.8,65.5,17.5
469,35.0,F,159.4,55.7,30.1
470,56.0,M,171.4,75.0,23.5
471,24.0,F,166.6,66.0,30.2
472,42.0,M,181.6,79.6,25.6
473,27.0,M,180.0,92.6,29.2
474,46.0,M,172.5,78.7,22.0
475,28.0,M,173.3,70.8,24.6
476,48.0,M,175.3,96.7,30.7
477,28.0,M,171.6,62.2,10.8
478,37.0,M,169.3,73.84,27.7
479,35.0,M,168.1,67.1,17.7
480,37.0,M,170.0,83.6,20.8
481,28.0,F,167.0,60.5,19.5
482,30.0,M,171.5,70.7,22.2
483,50.0,M,167.8,76.1,24.8
484,22.0,F,167.4,66.2,34.0
485,46.0,M,170.0,77.1,24.8
486,31.0,F,165.1,55.1,25.7
487,54.0,F,164.6,67.1,29.9
488,36.0,F,155.4,49.9,24.17116
489,37.0,M,171.9,96.6,38.6
490,37.0,M,172.0,73.1,14.1
491,21.0,M,183.5,88.7,27.0
492,62.0,F,152.7,59.8,33.5
493,47.0,F,153.5,54.4,31.4
494,24.0,F,160.4,58.7,29.1
495,26.0,M,174.8,81.8,22.7
496,29.0,F,161.1,55.9,32.8
497,60.0,F,155.1,52.2,31.8
498,45.0,M,174.5,87.7,31.9
499,61.0,F,164.7,82.3,43.7
500,63.0,M,163.9,57.6,20.0
501,22.0,F,152.9,45.0,20.8
502,21.0,M,185.9,69.5,11.9
503,32.0,M,177.3,77.5,15.5
504,26.0,F,164.5,63.2,28.2
505,22.0,M,179.3,75.1,16.7
506,28.0,F,159.5,48.8,24.3
507,28.0,F,160.6,53.3,22.4
508,30.0,F,167.2,61.0,34.3
509,26.0,F,159.3,49.0,20.9
510,63.0,F,156.9,55.9,31.3
511,22.0,F,164.2,47.4,22.3
512,23.0,M,173.0,66.8,12.0
513,42.0,M,172.2,70.9,20.5
514,24.0,M,172.0,70.6,14.7
515,33.0,M,186.8,117.5,28.3
516,34.0,M,170.6,71.7,9.7
517,24.0,F,168.2,54.0,15.9
518,22.0,F,164.3,59.44,28.3
519,33.0,F,154.0,54.7,33.9
520,60.0,M,165.5,74.2,35.2
521,25.0,M,171.0,77.4,22.0
522,27.0,M,182.0,80.8,24.1
523,26.0,M,177.0,79.0,17.0
524,56.0,F,159.5,50.0,28.5
525,63.0,M,159.3,64.6,24.9
526,22.0,M,169.3,62.3,17.2
527,24.0,F,160.7,58.2,28.5
528,38.0,M,173.5,77.7,24.7
529,54.0,M,171.5,72.9,20.8
530,25.0,M,182.0,93.5,22.1
531,59.0,F,148.2,53.3,37.4
532,22.0,F,163.2,52.4,22.7
533,24.0,F,167.9,55.9,28.9
534,24.0,F,164.9,55.4,20.3
535,22.0,M,175.6,96.4,36.6
536,55.0,F,161.0,61.9,35.6
537,46.0,F,163.0,63.8,34.6
538,22.0,F,168.6,71.0,33.9
539,26.0,F,162.1,56.9,25.14121
540,29.0,M,166.8,69.2,26.5
541,46.0,M,167.2,71.1,27.6
542,61.0,M,161.1,66.1,28.0
543,21.0,M,173.7,73.0,16.4
544,32.0,F,151.2,52.4,31.7
545,27.0,M,171.8,74.8,24.1
546,22.0,M,179.4,70.5,17.8
547,58.0,M,177.7,73.9,19.0
548,26.0,M,172.3,65.9,14.4
549,21.0,F,164.2,64.0,29.7
550,59.0,M,169.4,75.9,24.5
551,24.0,F,173.3,65.3,33.6
552,45.0,M,168.0,62.0,12.2
553,22.0,M,179.4,78.6,16.5
554,35.0,M,191.6,125.7,35.2
555,28.0,M,169.1,64.0,22.6
556,29.0,F,158.4,57.22,27.8
557,60.0,M,169.7,73.9,28.1
558,22.0,M,184.9,73.9,10.2
559,21.0,F,172.8,54.8,25.0
560,37.0,M,173.4,70.0,22.5
561,35.0,F,154.0,47.6,23.9
562,26.0,F,170.0,58.9,18.3
563,57.0,F,161.3,59.8,29.1
564,29.0,M,177.9,65.2,10.6
565,35.0,M,181.5,98.5,22.8
566,38.0,M,167.7,67.9,15.6
567,28.0,M,164.3,63.2,26.2
568,63.0,M,167.4,59.8,22.0
569,47.0,M,167.8,68.8,14.8
570,57.0,M,168.2,74.5,20.2
571,30.0,M,180.0,85.08,13.1
572,35.0,M,164.6,66.0,15.7
573,24.0,M,165.7,63.5,20.0
574,28.0,F,158.6,45.8,24.2
575,59.0,M,174.5,72.4,20.0
576,42.0,M,172.1,65.74,22.3
577,45.0,M,164.7,56.1,14.1
578,51.0,F,163.3,55.0,25.6
579,39.0,F,162.1,45.0,19.4
580,40.0,M,169.5,75.6,28.1
581,25.0,F,163.5,56.18,28.2
582,58.0,F,155.6,82.0,47.1
583,29.0,M,181.2,94.72,15.8
584,24.0,M,172.1,72.4,16.1
585,58.0,M,167.5,65.5,17.8
586,38.0,F,156.3,44.9,24.3
587,62.0,M,172.1,71.52,23.7
588,35.0,F,156.4,48.5,18.2
589,31.0,F,159.3,47.9,19.2
590,51.0,M,163.5,53.8,17.3
591,24.0,M,174.9,75.1,18.2
592,30.0,M,175.2,71.5,12.6
593,36.0,M,172.5,80.8,19.9
594,36.0,F,158.5,53.56,19.5
595,26.0,F,160.0,62.4,31.3
596,39.0,M,175.5,88.1,31.0
597,28.0,M,169.1,70.8,28.0
598,31.0,M,175.1,76.2,19.7
599,32.0,M,167.1,69.5,26.0
600,21.0,F,153.9,58.8,32.3
601,60.0,M,164.3,74.0,29.3
602,23.0,M,172.8,76.4,18.4
603,21.0,M,186.4,92.5,11.2
604,45.0,F,164.0,51.7,24.5
605,31.0,M,168.5,68.2,19.6
606,31.0,M,168.4,63.38,19.4
607,26.0,M,169.9,95.5,33.0
608,43.0,F,162.7,51.1,25.5
609,28.0,F,168.6,60.2,24.5
610,21.0,M,157.5,45.5,11.2
611,26.0,M,170.3,64.6,16.6
612,21.0,F,168.2,77.9,31.6
613,21.0,M,169.3,71.1,21.2
614,37.0,M,172.1,72.5,28.1
615,61.0,M,167.2,69.7,26.1
616,29.0,F,160.7,49.24,22.0
617,59.0,F,163.3,62.54,34.8
618,21.0,M,173.0,70.3,11.2
619,21.0,M,171.0,67.3,11.0
620,26.0,M,176.0,80.5,12.0
621,31.0,M,166.9,73.6,26.6
622,25.0,F,158.1,56.3,29.6
623,23.0,F,166.0,55.8,26.4
624,36.0,M,170.4,66.0,17.1
625,25.0,F,163.8,54.2,35.8
626,44.0,M,185.6,87.1,19.5
627,34.0,M,158.3,64.1,25.5
628,64.0,M,160.5,67.9,26.7
629,23.0,F,158.7,67.2,36.8
630,42.0,F,165.4,65.9,15.7522
631,28.0,F,159.6,50.8,27.3
632,22.0,M,176.5,69.88,17.0
633,61.0,M,167.4,57.1,19.7
634,22.0,M,166.0,76.1,19.1
635,32.0,M,163.5,70.4,25.6
636,56.0,F,158.6,59.74,27.1
637,25.0,M,170.7,66.8,15.9
638,21.0,M,185.8,83.6,13.4
639,23.0,F,152.7,48.08,27.0
640,28.0,F,153.6,54.7,39.0
641,23.0,M,172.0,72.0,28.6
642,45.0,F,155.9,58.2,37.2
643,60.0,M,172.5,73.9,21.2
644,33.0,M,168.7,62.3,22.7
645,53.0,M,170.4,68.8,23.4
646,22.0,M,169.0,73.8,17.7
647,45.0,M,167.4,82.9,33.4
648,31.0,M,185.3,93.14,19.0
649,25.0,M,185.0,88.1,18.0
650,39.0,M,169.9,62.7,19.9
651,22.0,F,163.3,57.2,25.2
652,26.0,M,181.9,87.3,24.8
653,35.0,F,151.7,44.1,26.6
654,28.0,M,180.1,75.4,18.5
655,39.0,M,184.4,85.7,18.5
656,29.0,M,171.5,75.36,27.1
657,40.0,M,180.1,82.4,15.1
658,46.0,M,168.4,75.0,19.0
659,29.0,F,159.6,61.9,38.3
660,26.0,M,165.9,68.7,16.5
661,36.0,M,176.7,72.7,9.7
662,27.0,F,174.4,64.4,29.1
663,36.0,M,168.0,83.5,22.9
664,24.0,F,161.7,50.0,24.8
665,26.0,F,163.5,52.0,19.3
666,23.0,F,175.1,70.8,34.2
667,48.0,F,153.0,51.7,27.5
668,56.0,M,162.7,74.8,31.3
669,23.0,M,179.0,78.6,17.5
670,44.0,M,167.1,59.9,18.8
671,21.0,F,163.3,45.3,17.0
672,42.0,M,174.7,76.2,20.5
673,52.0,F,159.0,59.5,30.0
674,26.0,M,171.1,72.7,26.3
675,29.0,M,184.3,89.5,17.8
676,21.0,F,163.4,55.92,30.9
677,60.0,F,162.6,63.2,34.4
678,25.0,F,163.5,54.5,25.0
679,23.0,M,162.6,63.8,17.9
680,24.0,F,163.7,61.0,38.3
681,53.0,M,180.8,78.0,25.9
682,51.0,F,159.6,79.9,43.8
683,37.0,F,163.9,67.0,30.0
684,37.0,F,155.0,71.1,24.6
685,37.0,M,172.6,78.26,30.7
686,23.0,M,175.2,70.8,15.5
687,61.0,F,153.3,52.3,37.0
688,50.0,M,167.8,69.6,24.2
689,38.0,F,170.6,62.8,32.8
690,35.0,M,179.0,79.0,13.5
691,26.0,F,154.5,60.4,33.8
692,25.0,M,172.5,62.4,6.3
693,62.0,M,176.5,70.9,19.1
694,34.0,F,159.4,69.2,35.9
695,32.0,F,153.6,49.4,31.9
696,27.0,F,166.3,52.3,26.5
